warehouse_code;sku;sku_name;dim_name;dim_step;sale_price;category;subcategory
1030;315283;Борошно з/рису нешліф.World`s rice 0,9кг;шт;1;57,49;Бакалія [2];Борошно [26]
1030;72441;Борошно пшен.Київмлин в/г 2кг;шт;1;27,08;Бакалія [2];Борошно [26]
1030;291056;Борошно пшеничне вищого гат.NOVUS 1кг;шт;1;13,08;Бакалія [2];Борошно [26]
1030;189888;Борошно пшеничне Marka Promo 2кг;шт;1;20,83;Бакалія [2];Борошно [26]
1030;1219;Борошно пшен.Хуторок в/г 5кг;шт;1;64,99;Бакалія [2];Борошно [26]
1030;72443;Борошно пшен.Білоцерків.в/г 3кг;шт;1;36,66;Бакалія [2];Борошно [26]
1030;1217;Борошно пшен.Хуторок в/г 1кг;шт;1;13,58;Бакалія [2];Борошно [26]
1030;72442;Борошно пшен.Київмлин в/г 5кг;шт;1;65,83;Бакалія [2];Борошно [26]
1030;291057;Борошно пшеничне вищого гат.NOVUS 2кг;шт;1;24,49;Бакалія [2];Борошно [26]
1030;189887;Борошно пшеничне Marka Promo 1кг;шт;1;10,83;Бакалія [2];Борошно [26]
1030;77316;Каша злакова багатозернова Ремедія 200г;шт;1;103,33;Бакалія [2];Дитяче харчування [20]
1030;77318;Каша гречана Ремедія 200г;шт;1;111,67;Бакалія [2];Дитяче харчування [20]
1030;78873;Замінник гр.м.Нан 2 Nestle з/б 800г;шт;1;307,5;Бакалія [2];Дитяче харчування [20]
1030;198099;Сік осв.Агуша груша 0% TBA Base 0,2л;шт;1;8,33;Бакалія [2];Дитяче харчування [20]
1030;228498;Замінник груд.мол.Нутрілон Пепті 400г;шт;1;249,17;Бакалія [2];Дитяче харчування [20]
1030;68198;Сік Агуша яблучний 200мл;шт;1;8,33;Бакалія [2];Дитяче харчування [20]
1030;279611;Пюре Gerber Яблуко Груша пауч 90г;шт;1;18,08;Бакалія [2];Дитяче харчування [20]
1030;2682;Вода дитяча питна Малятко 1,5л;шт;1;10,74;Бакалія [2];Дитяче харчування [20]
1030;198098;Сік осв.Агуша яблуко-груша 0,2л;шт;1;8,33;Бакалія [2];Дитяче харчування [20]
1030;335629;Суміш суха Nutrilon Комфорт 2, 300г;шт;1;145;Бакалія [2];Дитяче харчування [20]
1030;310641;Агар-агар харчовий Приправка 8 г;шт;1;17,91;Бакалія [2];Добавки для приготування їжі [24]
1030;2199;Желе Полуниця Мрія 90г;шт;1;8,74;Бакалія [2];Добавки для приготування їжі [24]
1030;274191;Лимонна кислота Marka Promo 100г;шт;1;6,08;Бакалія [2];Добавки для приготування їжі [24]
1030;2198;Желе Ківі Мрія 90г;шт;1;8,74;Бакалія [2];Добавки для приготування їжі [24]
1030;227542;Сік лимону 100% Lemoni 220мл;шт;1;22,08;Бакалія [2];Добавки для приготування їжі [24]
1030;2201;Желе Малина Мрія 90г;шт;1;8,74;Бакалія [2];Добавки для приготування їжі [24]
1030;2196;Желе Вишня Мрія 90г;шт;1;8,74;Бакалія [2];Добавки для приготування їжі [24]
1030;2195;Желе Апельсин Мрія 90г;шт;1;8,74;Бакалія [2];Добавки для приготування їжі [24]
1030;196852;Начинка макова SantaVita Bakers 500г;шт;1;64,16;Бакалія [2];Добавки для приготування їжі [24]
1030;71811;Цукор ванільний Dr.Oetker 8г;шт;1;2,41;Бакалія [2];Добавки для приготування їжі [24]
1030;288509;Кава Якобз Монарх без кофеїну 60г;шт;1;64,99;Бакалія [2];Кава,какао [21]
1030;278413;Кава мел.нат.Еспрессо Кава зі Львова225г;шт;1;39,99;Бакалія [2];Кава,какао [21]
1030;77064;Кава в зер.нат.Ар.Іллі 100% см.з/б 250г;шт;1;274,17;Бакалія [2];Кава,какао [21]
1030;204914;Какао темне Dr.Oetker 100г*20шт;шт;1;39,16;Бакалія [2];Кава,какао [21]
1030;261650;Кава нат.роз.Нескафе Есп.м/уп.120г;шт;1;165,83;Бакалія [2];Кава,какао [21]
1030;253658;Кава мел.Ambassador Nero вак.уп. 225г;шт;1;49,16;Бакалія [2];Кава,какао [21]
1030;311393;Кава мелена Якобз Монарх Інтенс 450г;шт;1;125,83;Бакалія [2];Кава,какао [21]
1030;288491;Кава натур.Преміум Кава зі Львова 225г;шт;1;79,99;Бакалія [2];Кава,какао [21]
1030;269963;Кава мелена Якобз Монарх 230г;шт;1;76,66;Бакалія [2];Кава,какао [21]
1030;3451;Кава розчинна 3в1 MacCoffee 20г;шт;1;2,49;Бакалія [2];Кава,какао [21]
1030;186083;Горошок зелений Верес із мозков.сор.200г;шт;1;18,74;Бакалія [2];Консерв.овочі і конс.напівфабрикати [2C]
1030;198379;Горошок зелений з/б Marka Promo 400г;шт;1;15,74;Бакалія [2];Консерв.овочі і конс.напівфабрикати [2C]
1030;208412;Оливки Iberica з кісточкою 420г;шт;1;52,49;Бакалія [2];Консерв.овочі і конс.напівфабрикати [2C]
1030;298194;Перець вишн.з пр.смет/сир.Almito 320мл;шт;1;108,33;Бакалія [2];Консерв.овочі і конс.напівфабрикати [2C]
1030;45334;Кукурудза нiжна Bonduelle, ж/б, 170г;шт;1;25,83;Бакалія [2];Консерв.овочі і конс.напівфабрикати [2C]
1030;327173;Опеньки мариновані з овочами РІО 360г;шт;1;49,99;Бакалія [2];Консерв.овочі і конс.напівфабрикати [2C]
1030;227535;Оливки з/к конс.паст.Feudo Verde 170г;шт;1;10,83;Бакалія [2];Консерв.овочі і конс.напівфабрикати [2C]
1030;345788;Оливки зелені з кісточкою Bodega 350г;шт;1;33,33;Бакалія [2];Консерв.овочі і конс.напівфабрикати [2C]
1030;179605;Кукурудза по-мекс.Bond.E.Gоld з/б 340г;шт;1;39,99;Бакалія [2];Консерв.овочі і конс.напівфабрикати [2C]
1030;334826;Квасоля біла Fiamma 400 г;шт;1;23,33;Бакалія [2];Консерв.овочі і конс.напівфабрикати [2C]
1030;31654;Мед Різнотрав'я Бартник с/б 400г;шт;1;52,49;Бакалія [2];Консерв.фрукти,компоти,варення,мед [2D]
1030;125525;Ананас кільця в сиропі Lorado з/б 580мл;шт;1;38,33;Бакалія [2];Консерв.фрукти,компоти,варення,мед [2D]
1030;2031;Джем Малина з цукром Верес 370г;шт;1;40,83;Бакалія [2];Консерв.фрукти,компоти,варення,мед [2D]
1030;64010;Ананас шматочки в сиропі Rio з/б 580мл;шт;1;37,08;Бакалія [2];Консерв.фрукти,компоти,варення,мед [2D]
1030;64008;Ананас кіл.сироп.RIO з/б 580мл;шт;1;41,66;Бакалія [2];Консерв.фрукти,компоти,варення,мед [2D]
1030;31651;Мед Липовий Бартник 400г;шт;1;81,66;Бакалія [2];Консерв.фрукти,компоти,варення,мед [2D]
1030;125528;Персики половинки в сир.Lorado з/б 850мл;шт;1;41,66;Бакалія [2];Консерв.фрукти,компоти,варення,мед [2D]
1030;244425;Мед натуральний липовий Novus 450г;шт;1;57,08;Бакалія [2];Консерв.фрукти,компоти,варення,мед [2D]
1030;66044;Варення Малина Дари Ланів 360г;шт;1;39,99;Бакалія [2];Консерв.фрукти,компоти,варення,мед [2D]
1030;348091;Варення Малина Novus с/б 380г;шт;1;27,08;Бакалія [2];Консерв.фрукти,компоти,варення,мед [2D]
1030;194801;Рис Єгипетський World's Rice 1кг;шт;1;58,33;Бакалія [2];Крупа [28]
1030;70978;Рис круглий БестА Єгипетський 500г;шт;1;29,99;Бакалія [2];Крупа [28]
1030;71012;Крупа пшенична Артек БестА 700г;шт;1;24,16;Бакалія [2];Крупа [28]
1030;315302;Булгур з італійс.травами Олімп 0,7 кг;шт;1;21,66;Бакалія [2];Крупа [28]
1030;329999;Крупи гречані не/смаж Pere ПЕТ 800г;шт;1;64,16;Бакалія [2];Крупа [28]
1030;226115;Крупа гречана Novus 1кг;шт;1;34,58;Бакалія [2];Крупа [28]
1030;315228;Насіння Чіа Salubre a votre sante 200г;шт;1;49,16;Бакалія [2];Крупа [28]
1030;295164;Булгур класичний Олімп 700г;шт;1;18,74;Бакалія [2];Крупа [28]
1030;273895;Крупа кукурудзяна Полента 450г;шт;1;21,66;Бакалія [2];Крупа [28]
